t_s,activos,cola,completados
1.0,8,0,0
2.0,8,0,0
3.0,8,0,0
4.0,9,0,0
5.0,9,0,0
6.0,9,0,0
7.0,11,0,0
8.0,15,0,0
9.0,15,0,0
10.0,17,0,0
11.0,17,0,0
12.0,19,0,0
13.0,23,0,0
14.0,23,0,0
15.0,23,0,0
16.0,23,0,0
17.0,28,0,0
18.0,28,0,0
19.0,28,2,0
20.0,28,4,0
21.0,28,4,0
22.0,28,5,0
23.0,28,2,0
24.0,28,1,0
25.0,28,1,0
26.0,28,1,0
27.0,28,5,0
28.0,28,3,0
29.0,28,5,0
30.0,28,4,0
31.0,28,4,0
32.0,28,4,0
33.0,28,4,0
34.0,28,4,0
35.0,28,5,0
36.0,27,4,1
37.0,27,2,1
38.0,27,2,1
39.0,27,4,1
40.0,27,3,1
41.0,27,5,1
42.0,27,3,1
43.0,27,2,1
44.0,27,2,1
45.0,27,2,1
46.0,26,2,2
47.0,25,2,3
48.0,24,2,4
49.0,24,2,4
50.0,24,0,4
51.0,24,1,4
52.0,22,1,6
53.0,25,1,7
54.0,25,1,7
55.0,25,2,7
56.0,25,2,7
57.0,24,2,8
58.0,26,1,8
59.0,22,1,12
60.0,23,1,13
61.0,27,1,13
62.0,25,2,15
63.0,27,1,15
64.0,26,1,17
65.0,25,1,18
66.0,28,1,18
67.0,28,1,19
68.0,28,1,20
69.0,28,0,20
70.0,27,0,22
71.0,27,0,22
72.0,27,0,22
73.0,25,1,24
74.0,25,1,24
75.0,25,1,24
76.0,25,1,24
77.0,25,2,24
78.0,25,3,24
79.0,24,5,25
80.0,24,7,25
81.0,24,5,25
82.0,24,3,25
83.0,24,2,25
84.0,24,3,25
85.0,24,2,25
86.0,23,3,26
87.0,23,3,26
88.0,23,2,26
89.0,23,3,26
90.0,23,2,26
91.0,21,2,28
92.0,21,2,28
93.0,21,3,28
94.0,21,3,28
95.0,21,2,28
96.0,20,3,29
97.0,20,2,29
98.0,20,2,29
99.0,20,2,29
100.0,21,1,30
101.0,21,1,30
102.0,21,0,30
103.0,21,0,30
104.0,22,0,32
105.0,23,0,32
106.0,23,0,32
107.0,25,0,33
108.0,27,0,33
109.0,27,0,33
110.0,28,0,35
111.0,29,0,35
112.0,29,0,35
113.0,29,0,37
114.0,29,0,37
115.0,28,0,38
116.0,29,0,38
117.0,29,0,39
118.0,28,0,40
119.0,27,2,42
120.0,27,2,42
121.0,27,2,42
122.0,27,3,42
123.0,27,2,42
124.0,25,2,44
125.0,25,2,44
126.0,25,3,44
127.0,25,4,44
128.0,25,6,44
129.0,25,5,44
130.0,24,4,45
131.0,24,5,45
132.0,24,5,45
133.0,23,4,46
134.0,23,4,46
135.0,23,4,46
136.0,23,3,46
137.0,23,1,46
138.0,23,2,46
139.0,22,3,47
140.0,22,2,47
141.0,22,2,47
142.0,21,3,48
143.0,21,2,48
144.0,21,1,48
145.0,20,1,49
146.0,18,1,51
147.0,18,1,52
148.0,19,2,52
149.0,19,1,52
150.0,21,0,53
151.0,22,0,53
152.0,21,0,54
153.0,21,0,54
154.0,21,0,54
155.0,22,0,54
156.0,24,0,54
157.0,23,0,55
158.0,28,0,55
159.0,27,0,56
160.0,25,0,58
161.0,26,0,58
162.0,26,0,58
163.0,26,0,61
164.0,27,0,63
165.0,28,0,63
166.0,27,0,65
167.0,28,0,65
168.0,29,0,65
169.0,29,1,65
170.0,28,2,66
171.0,27,2,67
172.0,27,3,67
173.0,27,1,67
174.0,27,2,67
175.0,27,3,67
176.0,27,3,67
177.0,25,5,69
178.0,25,5,69
179.0,25,4,69
180.0,25,4,69
