t_s,activos,cola,completados
1.0,8,0,0
2.0,8,0,0
3.0,8,0,0
4.0,9,0,0
5.0,9,0,0
6.0,9,0,0
7.0,11,0,0
8.0,15,0,0
9.0,15,0,0
10.0,17,0,0
11.0,17,0,0
12.0,19,0,0
13.0,23,0,0
14.0,23,0,0
15.0,23,0,0
16.0,23,0,0
17.0,28,0,0
18.0,28,0,0
19.0,28,0,0
20.0,28,2,0
21.0,28,1,0
22.0,28,1,0
23.0,28,1,0
24.0,28,1,0
25.0,28,1,0
26.0,28,1,0
27.0,28,3,0
28.0,28,3,0
29.0,28,4,0
30.0,28,4,0
31.0,28,0,0
32.0,27,1,1
33.0,27,1,1
34.0,27,1,1
35.0,27,0,1
36.0,27,2,1
37.0,27,3,1
38.0,27,4,1
39.0,27,3,1
40.0,27,3,1
41.0,26,3,2
42.0,25,3,3
43.0,24,3,4
44.0,23,3,5
45.0,23,3,5
46.0,22,3,6
47.0,22,3,6
48.0,22,3,6
49.0,20,0,8
50.0,19,4,9
51.0,22,4,9
52.0,23,5,9
53.0,23,5,9
54.0,22,5,10
55.0,19,5,13
56.0,21,5,13
57.0,21,6,13
58.0,23,7,13
59.0,23,7,14
60.0,26,7,14
61.0,28,0,14
62.0,27,0,15
63.0,28,0,15
64.0,28,0,15
65.0,30,0,15
66.0,30,0,15
67.0,30,0,15
68.0,30,0,15
69.0,30,0,15
70.0,28,0,17
71.0,28,1,17
72.0,25,1,20
73.0,25,1,20
74.0,24,1,21
75.0,23,2,22
76.0,22,3,23
77.0,22,4,23
78.0,22,4,23
79.0,22,0,23
80.0,22,3,23
81.0,22,5,23
82.0,21,5,24
83.0,21,5,24
84.0,21,6,24
85.0,21,6,24
86.0,21,6,24
87.0,21,6,24
88.0,21,6,24
89.0,21,6,24
90.0,21,6,24
91.0,21,0,24
92.0,21,0,24
93.0,21,0,24
94.0,20,0,25
95.0,20,0,25
96.0,20,0,25
97.0,20,0,25
98.0,20,0,25
99.0,20,0,25
100.0,21,0,27
101.0,22,0,27
102.0,19,0,32
103.0,19,0,32
104.0,18,0,33
105.0,17,0,34
106.0,17,0,36
107.0,16,0,37
108.0,20,0,37
109.0,21,0,37
110.0,21,4,37
111.0,23,4,37
112.0,25,4,37
113.0,27,4,37
114.0,28,4,37
115.0,28,4,37
116.0,28,4,38
117.0,29,4,38
118.0,29,5,38
119.0,29,5,38
120.0,29,5,38
121.0,29,0,38
122.0,29,1,38
123.0,29,1,38
124.0,29,1,38
125.0,29,1,38
126.0,29,1,38
127.0,29,2,38
128.0,29,3,38
129.0,29,3,38
130.0,27,4,40
131.0,27,4,40
132.0,23,4,44
133.0,23,4,44
134.0,22,4,45
135.0,21,4,46
136.0,21,4,46
137.0,21,4,46
138.0,21,4,46
139.0,21,0,46
140.0,21,0,46
141.0,21,2,46
142.0,21,3,46
143.0,21,3,46
144.0,20,3,47
145.0,20,4,47
146.0,19,4,48
147.0,19,4,48
148.0,19,4,48
149.0,19,4,49
150.0,21,4,49
151.0,22,0,49
152.0,24,0,49
153.0,24,0,49
154.0,23,0,50
155.0,24,0,50
156.0,24,0,50
157.0,25,0,50
158.0,26,0,50
159.0,26,0,50
160.0,29,0,50
161.0,29,0,50
162.0,26,0,54
163.0,29,0,54
164.0,29,0,55
165.0,28,0,56
166.0,27,0,59
167.0,28,0,59
168.0,29,0,59
169.0,29,0,59
170.0,29,3,59
171.0,29,4,59
172.0,28,4,60
173.0,28,4,60
174.0,28,4,60
175.0,28,4,60
176.0,28,4,60
177.0,28,5,60
178.0,28,6,60
179.0,28,7,60
180.0,28,7,60
